Headline,Date and Time,Details
"FIR lodged against driver, owner of ill-fated coach that caught fire near Nooriabad","October 14, 2022","DADU: A case has been registered on behalf of state against driver and owner of the ill-fated bus, which caught fire due to short circuit on M9 Motorway near Nooriabad a day before."
"South Waziristan divided into two districts
","October 14, 2022","PESHAWAR: Fulfilling a longstanding demand of the local population, the Khyber Pakhtunkhwa government has formally divided South Waziristan tribal district into two distinct administrative territories representing the separate demographic entities of Mehsud and Ahmadzai Wazir tribes. "
"Imran claimed power through conspiracy, says Fazl
","October 14, 2022",CHARSADDA: Pakistan Democratic Movement chairman and Jamiat Ulema-i-Islam-Fazl chief Maulana Fazlur Rehman on Thursday claimed that the ruling alliance in the centre would defeat the Pakistan Tehreek-i-Insaf in the upcoming by-elections for three National Assembly seats in Khyber Pakhtunkhwa.
"Massive fault leaves Balochistan ‘powerless’
","October 14, 2022","QUETTA: Life in 28 districts out of Balochistan’s 34, including the capital Quetta, was severely disrupted on Thursday after the electricity supply remained suspended throughout the day due to a technical fault in the 500-kilovolt southern transmission line."
"Lawmakers assail NDMA ‘failures’, seek role in  flood relief efforts
","October 14, 2022",ISLAMABAD: Members of the National Assembly on Thursday lashed out at the local administrations in the provinces and the disaster management institutions over their alleged failure in dealing with the recent devastated floods in the country and demanded a role in the ongoing relief operations in the affected areas.
Five shot dead in North Carolina capital; juvenile suspect arrested,"October 14, 2022","Five people including an off-duty police officer were shot dead in the North Carolina capital of Raleigh on Thursday, triggering a massive manhunt that shut down part of the city for hours and resulted in the arrest of a juvenile suspect, officials said."
UK announces additional £10m of aid for flood relief efforts in Pakistan,"October 14, 2022","The United Kingdom on Friday announced an additional £10 million of life-saving humanitarian aid for flood relief efforts in Pakistan, bringing the country’s total contribution to £26.5m."
Pakistan-origin cricketer Azeem Rafiq to ‘leave Britain’ after abuse following cricket racism scandal,"October 14, 2022","Azeem Rafiq, whose allegations of racism plunged English cricket into crisis, is leaving Britain to protect his family from further abuse and intimidation, a report said on Friday."
Malala asks international community to contribute to flood relief efforts so girls can go to school,"June 29, 2015",COLOMBO: Seamer Dhammika Prasad claimed four wickets to put Sri Lanka on top in the second Test in Colombo on Sunday despite a defiant century from Azhar Ali. 
"Residents of Swat and Shangla return to streets against wave of terrorism, remind govt to do more","October 14, 2022","The locals of Swat’s Charbagh tehsil and Shangla’s Alpuri took to the streets on Friday in continuation of their series of protests against the spate of terrorism in the scenic valley, demanding authorities clamp down on elements ruining the peace in the area."
FO says it ‘takes notice’ of heckling incidents involving Pakistani ministers abroad,"October 14, 2022","The Foreign Office on Friday spoke about the recent heckling of Finance Minister Ishaq Dar, saying “the FO takes notice of such incidents involving Pakistani ministers [during foreign visits]”."
Fakhar replaces Qadir in Pakistan’s squad for T20 World Cup,"October 14, 2022","Pakistan batsman Fakhar Zaman has been promoted to the team’s 15-player squad for the Twenty20 World Cup while leg spinner Usman Qadir has been moved to the travelling reserves due to an injury, the "
"Weekly inflation jumps by over 28pc
","October 15, 2022","ISLAMABAD: Inflation measured by the Sensitive Price Indicator (SPI) eased 0.57 per cent on a week-on-week basis for the period ending Oct 13 due to a slight decline in energy prices, according to data released by the Pakistan Bureau of Statistics (PBS) on Friday."
"PSX moves to delist textile maker
","October 15, 2022",KARACHI: The Pakistan Stock Exchange (PSX) said on Friday it intends to delist Hamid Textile Mills Ltd (HTML) — a manufacturer and exporter of yarn and grey cloth — for failing to comply with its compulsory buyback directive.
"Direct clash with Nato will lead to ‘global catastrophe’: Putin
","October 15, 2022",ASTANA: Russian President Vladimir Putin said on Friday that any direct clash of Nato troops with Russia would lead to a “global catastrophe”.
Headline,Date and Time,Details
"Harry Potter’s Hagrid, Robbie Coltrane, dies aged 72","October 15, 2022","Scottish actor Robbie Coltrane, who played Hagrid in the Harry Potter films, has died aged 72, his agent said on Friday."
"World Bank urges focus on fiscal, energy reforms
","October 15, 2022",WASHINGTON: World Bank Group President David Malpass has urged Pakistan to implement fiscal and energy reforms to stabilise the economy and lay the foundation for sustained growth.
"All eyes on tomorrow’s NA by-elections
","October 15, 2022",LAHORE: The stage is set for an exciting by-election scheduled to be held in 11 constituencies — eight of National Assembly and three of Punjab Assembly — on Sunday.  
"Ex-BHC CJ Noor Meskanzai gunned down in Kharan mosque attack
","October 15, 2022",			
"Concerns over India-held Kashmir influence Pakistan’s vote on Ukraine
","October 15, 2022",UNITED NATIONS: Concerns about Kashmir — and the need to balance its relations with major powers — forced Pakistan not to participate in a UN vote on Ukraine earlier this week.
"Aitzaz Ahsan under fire from PPP, allies for ‘Imran-style’ politics","October 15, 2022",• Khawaja Asif says PPP leader will get ‘similar treatment as Azam Swati’
"FO sees growing support for Pakistan’s stance
","October 15, 2022",ISLAMABAD: The Foreign Office has said the world is increasingly becoming supportive of Pakistan’s position on the Kashmir dispute with India.
"Senate, NA sessions adjourned due to lack of quorum
","October 15, 2022","ISLAMABAD: Lawmakers are often heard advocating for supremacy of the parliament, but brief proceedings of the two houses of parliament and adjournment of their sessions due to lack of quorum on Friday once again made it clear how parliamentarians themselves make mockery of democratic institutions. "
"Truss sacrifices finance minister, scraps tax plan in fight for survival
","October 15, 2022",LONDON: British Prime Minister Liz Truss fired her finance minister Kwasi Kwarteng on Friday and scrapped parts of their economic package in a desperate bid to stay in power and survive the market and political turmoil gripping the country. 
"PTI financier Tariq Shafi, minister Javed Latif granted protective bail","October 15, 2022",ISLAMABAD: The Islam­abad High Court (IHC) on Friday granted protective bail to Federal Minister Javed Latif and PTI’s financier Tariq Shafi in two separate cases.
PTI moves Pemra over anti-Imran remarks by Rana Sanaullah,"October 15, 2022","ISLAMABAD: The Pakis­tan Tehreek-i-Insaf (PTI) has approached Pakistan Electro­nic Media Regulatory Autho­rity (Pemra) against what it called very objectionable, reprehensible and absurd talks of Interior Minister Rana Sanaullah against PTI Chairman Imran Khan in a live TV programme and sought stern action against relevant persons of the programme in the light of the Pemra code of conduct."
"Rs51.6bn ‘flaws’ found in FBR ‘flagship project’
","October 15, 2022",ISLAMABAD: An audit of the Federal Board of Revenue (FBR) has pointed out Rs51.6 billion irregularities in a flagship project awarded to the National Logistics Cell without a tender process. 
"Stocks lose 137 points in sluggish trading
","October 15, 2022","KARACHI: The benchmark index opened on a positive note on Friday but failed to sustain its momentum owing to poor participation from investors, said Arif Habib Ltd."
"Weekly inflation jumps by over 28pc
","October 15, 2022","ISLAMABAD: Inflation measured by the Sensitive Price Indicator (SPI) eased 0.57 per cent on a week-on-week basis for the period ending Oct 13 due to a slight decline in energy prices, according to data released by the Pakistan Bureau of Statistics (PBS) on Friday."
"World shares, oil slide as dollar gains
","October 15, 2022","NEW YORK: Wall Street stocks went into reverse after initially gaining at Friday’s open while the dollar was rising in a volatile session as investors digested Russia’ suggestion it would ease attacks against Ukraine, the British Prime Minister’s firing of her finance minister and the start of US earnings season."
"FBR striving to end smuggling
","October 15, 2022","ISLAMABAD: Federal Board of Revenue Chairman Asim Ahmad has said that the government’s top priority is to combat the smuggling of goods, vehicles, currency and misinvoicing."
"Why Swat matters
","October 14, 2022",IT is 2009. A captive TV audience in metropolitan Pakistan is increasingly occupied by events in the otherwise idyllic Swat Valley where armed militias led by a certain Mullah Fazlullah have established a parallel government. Reports of lashings for ‘loose’ women and beheadings in public squares are accompanied by warnings that the outfit known as the Tehreek-i-Taliban Pakistan (TTP) is gaining ground across the rest of the Malakand region.
"School experience
","October 9, 2022","MOST of us were students once upon a time and harbour some great memories and some that we would rather forget. Teachers often try to enhance their students’ experience and provide better treatment than was meted out to them. Yet, we hear how schools have deteriorated in stature, quality and performance. "
"Afghan Taliban’s frustration
","October 9, 2022","THE regime in Afghanistan may have inked a few economic and trade agreements with its neighbours, but it has yet to secure formal recognition for its government from any side. The Taliban clearly understand why the international community remains reluctant to recognise them, yet their top administration insists on internal and external legitimacy on its own terms."
"SC moved against PTI’s ‘potentially disruptive’ march
","October 14, 2022","ISLAMABAD: With the PTI gearing up to march on the national capital, the federal government on Thurs­day approached the Sup­reme Court seeking a restra­ining order against former prime minister Imran Khan from creating a perceived law and order situation in the name of “jihad” against the state through a planned long march, specifically at a time when flood-affected people require urgent relief."
"Ecological care
","September 17, 2022",“We have planned to build a village comprised of 50 to 100 families. A prefab village is built in a few days. We are determining a location for it.” — Gen Qamar Bajwa 
"Much complacency
","October 14, 2022","PAKISTAN is facing major difficulties in mobilising the funds it desperately needs for flood relief, yet the government remains strangely unfazed by its stalling effort to secure climate reparations from major global polluters. "
"US sees China, not Russia, as ‘biggest geopolitical challenge’
","October 14, 2022","WASHINGTON: Pakistan and Saudi Arabia, once considered key US allies, are not even mentioned in the US National Security Strategy 2022, which identifies China as “America’s most consequential geopolitical challenge”."
"Neighbours trade charges over Kashmir at CICA summit
","October 14, 2022","ISLAMABAD: India responded angrily on Thursday after Prime Minister Shehbaz Sharif pointed to human rights violations in held Kashmir and repression of minorities in the country at a regional conference, while reiterating the offer of dialogue for the sake of regional peace and prosperity."
"Schrödinger’s justice
","October 12, 2022",THE last thing we expose a child to is injustice. It is taught even after satire. It is after all the irony is comprehended that we begin to teach our child the injustices that define real life.
PTI Senator Azam Swati arrested for tweeting against army chief,"October 13, 2022","PTI Senator Azam Swati was arrested on Thursday for allegedly tweeting a “highly obnoxious and intimidating message” against state institutions, including the army chief, according to a criminal complaint filed by the FIA."
Finance Minister Ishaq Dar heckled at airport in Washington,"October 13, 2022",Finance Minister Ishaq Dar on Thursday was heckled by unidentified people at the Dulles International Airport in Washington DC after he landed in the US capital ahead of important meetings with global lending institutions.
